Season,Episode,Character,Appearance_Type
1,Death Has a Shadow,Peter Griffin,Featuring
1,Death Has a Shadow,Lois Griffin,Featuring
1,Death Has a Shadow,Brian Griffin,Featuring
1,Death Has a Shadow,Stewie Griffin,Featuring
1,Death Has a Shadow,Chris Griffin,Featuring
1,Death Has a Shadow,Meg Griffin,Featuring
1,I Never Met the Dead Man,Peter Griffin,Featuring
1,I Never Met the Dead Man,Meg Griffin,Featuring
1,I Never Met the Dead Man,William Shatner,Featuring
1,Chitty Chitty Death Bang,Peter Griffin,Featuring
1,Chitty Chitty Death Bang,Meg Griffin,Featuring
1,Chitty Chitty Death Bang,Lois Griffin,Featuring
1,Chitty Chitty Death Bang,Stewie Griffin,Featuring
1,Chitty Chitty Death Bang,Jennifer,Featuring
1,Mind Over Murder,Peter Griffin,Featuring
1,Mind Over Murder,Lois Griffin,Featuring
1,Mind Over Murder,Stewie Griffin,Featuring
1,A Hero Sits Next Door,Peter Griffin,Featuring
1,A Hero Sits Next Door,Joe Swanson,Featuring
1,A Hero Sits Next Door,Bonnie Swanson,Featuring
1,The Son Also Draws,Peter Griffin,Featuring
1,The Son Also Draws,Chris Griffin,Featuring
1,Brian: Portrait of a Dog,Brian Griffin,Featuring
1,Brian: Portrait of a Dog,Peter Griffin,Featuring
1,Brian: Portrait of a Dog,Lois Griffin,Featuring
1,Brian: Portrait of a Dog,Stewie Griffin,Featuring
2,"Peter, Peter, Caviar Eater",Peter Griffin,Featuring
2,"Peter, Peter, Caviar Eater",Lois Griffin,Featuring
2,"Peter, Peter, Caviar Eater",Brian Griffin,Featuring
2,Holy Crap,Peter Griffin,Featuring
2,Holy Crap,Francis Griffin,Featuring
2,Holy Crap,The Pope,Featuring
2,Da Boom,Peter Griffin,Featuring
2,Da Boom,Lois Griffin,Featuring
2,Da Boom,Meg Griffin,Featuring
2,Da Boom,Chris Griffin,Featuring
2,Da Boom,Stewie Griffin,Featuring
2,Da Boom,Brian Griffin,Featuring
2,Brian in Love,Brian Griffin,Featuring
2,Brian in Love,Lois Griffin,Featuring
2,Love Thy Trophy,Peter Griffin,Featuring
2,Love Thy Trophy,Cleveland Brown,Featuring
2,Love Thy Trophy,Quagmire,Featuring
2,Love Thy Trophy,Joe Swanson,Featuring
2,Death Is a Bitch,Death,Featuring
2,Death Is a Bitch,Peter Griffin,Featuring
2,The King Is Dead,Peter Griffin,Featuring
2,The King Is Dead,Lois Griffin,Featuring
2,"I Am Peter, Hear Me Roar",Peter Griffin,Featuring
2,"I Am Peter, Hear Me Roar",Lois Griffin,Featuring
2,"I Am Peter, Hear Me Roar",Gloria Ironbachs,Featuring
2,"If I'm Dyin', I'm Lyin'",Peter Griffin,Featuring
2,"If I'm Dyin', I'm Lyin'",Chris Griffin,Featuring
2,Running Mates,Peter Griffin,Featuring
2,Running Mates,Lois Griffin,Featuring
2,"A Picture is Worth 1,000 Bucks",Peter Griffin,Featuring
2,"A Picture is Worth 1,000 Bucks",Chris Griffin,Featuring
2,"A Picture is Worth 1,000 Bucks",Antonio Monatti,Featuring
2,Fifteen Minutes of Shame,Meg Griffin,Featuring
2,Road to Rhode Island,Brian Griffin,Featuring
2,Road to Rhode Island,Stewie Griffin,Featuring
2,Let's Go to the Hop,Peter Griffin,Featuring
2,Let's Go to the Hop,Meg Griffin,Featuring
2,Dammit Janet,Stewie Griffin,Featuring
2,Dammit Janet,Janet,Featuring
2,Dammit Janet,Lois Griffin,Featuring
2,Dammit Janet,Peter Griffin,Featuring
2,There's Something About Paulie,Peter Griffin,Featuring
2,There's Something About Paulie,Lois Griffin,Featuring
2,There's Something About Paulie,Big Fat Paulie,Featuring
2,He's Too Sexy for His Fat,Chris Griffin,Featuring
2,He's Too Sexy for His Fat,Peter Griffin,Featuring
2,E. Peterbus Unum,Peter Griffin,Featuring
2,E. Peterbus Unum,Mayor Adam West,Featuring
2,E. Peterbus Unum,Joe Swanson,Featuring
2,The Story on Page One,Meg Griffin,Featuring
2,The Story on Page One,Peter Griffin,Featuring
2,Wasted Talent,Peter Griffin,Featuring
2,Wasted Talent,Lois Griffin,Featuring
2,Wasted Talent,Alexis Radcliffe,Featuring
2,"Fore, Father",Peter Griffin,Featuring
2,"Fore, Father",Cleveland Brown,Featuring
2,"Fore, Father",Jr.,Featuring
2,"Fore, Father",Chris Griffin,Featuring
3,The Thin White Line,Brian Griffin,Featuring
3,The Thin White Line,Peter Griffin,Featuring
3,Brian Does Hollywood,Brian Griffin,Featuring
3,Brian Does Hollywood,Jasper,Featuring
3,Brian Does Hollywood,Stewie Griffin,Featuring
3,Mr. Griffin Goes to Washington,Peter Griffin,Featuring
3,Mr. Griffin Goes to Washington,Lois Griffin,Featuring
3,Mr. Griffin Goes to Washington,Stewie Griffin,Featuring
3,"One If by Clam, Two If by Sea",Peter Griffin,Featuring
3,"One If by Clam, Two If by Sea",Lois Griffin,Featuring
3,"One If by Clam, Two If by Sea",Nigel Pinchley,Featuring
3,"One If by Clam, Two If by Sea",Stewie Griffin,Featuring
3,"One If by Clam, Two If by Sea",Eliza Pinchley,Featuring
3,And the Wiener Is...,Peter Griffin,Featuring
3,And the Wiener Is...,Chris Griffin,Featuring
3,And the Wiener Is...,Meg Griffin,Featuring
3,And the Wiener Is...,Connie DiMico,Featuring
3,Death Lives,Peter Griffin,Featuring
3,Death Lives,Death,Featuring
3,Lethal Weapons,Lois Griffin,Featuring
3,Lethal Weapons,Peter Griffin,Featuring
3,The Kiss Seen Around the World,Meg Griffin,Featuring
3,The Kiss Seen Around the World,Neil Goldman,Featuring
3,Mr. Saturday Knight,Peter Griffin,Featuring
3,Mr. Saturday Knight,Mr. Weed,Featuring
3,Mr. Saturday Knight,The Black Knight,Featuring
3,A Fish Out of Water,Peter Griffin,Featuring
3,A Fish Out of Water,Lois Griffin,Featuring
3,A Fish Out of Water,Meg Griffin,Featuring
3,Emission Impossible,Stewie Griffin,Featuring
3,Emission Impossible,Lois Griffin,Featuring
3,Emission Impossible,Peter Griffin,Featuring
3,Emission Impossible,Carol Pewterschmidt,Featuring
3,Emission Impossible,Bertram,Featuring
3,To Love and Die in Dixie,Chris Griffin,Featuring
3,To Love and Die in Dixie,Peter Griffin,Featuring
3,To Love and Die in Dixie,Sam,Featuring
3,Screwed the Pooch,Brian Griffin,Featuring
3,Screwed the Pooch,Seabreeze Pewterschmidt,Featuring
3,Screwed the Pooch,Peter Griffin,Featuring
3,Screwed the Pooch,Carter Pewterschmidt,Featuring
3,"Peter Griffin: Husband, Father... Brother?",Peter Griffin,Featuring
3,"Peter Griffin: Husband, Father... Brother?",Chris Griffin,Featuring
3,"Peter Griffin: Husband, Father... Brother?",Nate Griffin,Featuring
3,"Ready, Willing, and Disabled",Joe Swanson,Featuring
3,"Ready, Willing, and Disabled",Peter Griffin,Featuring
3,A Very Special Family Guy Freakin' Christmas,Lois Griffin,Featuring
3,A Very Special Family Guy Freakin' Christmas,Peter Griffin,Featuring
3,A Very Special Family Guy Freakin' Christmas,Stewie Griffin,Featuring
3,Brian Wallows and Peter's Swallows,Peter Griffin,Featuring
3,Brian Wallows and Peter's Swallows,Brian Griffin,Featuring
3,Brian Wallows and Peter's Swallows,Pearl Burton,Featuring
3,From Method to Madness,Stewie Griffin,Featuring
3,From Method to Madness,Olivia Fuller,Featuring
3,From Method to Madness,Meg Griffin,Featuring
3,From Method to Madness,Jeff Campbell,Featuring
3,"Stuck Together, Torn Apart",Peter Griffin,Featuring
3,"Stuck Together, Torn Apart",Lois Griffin,Featuring
3,"Stuck Together, Torn Apart",Stewie Griffin,Featuring
